rank,title,score,info,type,episodes,episode_bins
80,Tengen Toppa Gurren Lagann,8.64,"TV (27 eps)         Apr 2007 - Sep 2007         1,702,015 members",TV,27.0,Long (>26)
81,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.64,"Movie (1 eps)         Aug 2020 - Aug 2020         384,496 members",Movie,1.0,Short (<=12)
82,Look Back,8.64,"Movie (1 eps)         Jun 2024 - Jun 2024         177,943 members",Movie,1.0,Short (<=12)
83,Odd Taxi,8.64,"TV (13 eps)         Apr 2021 - Jun 2021         480,679 members",TV,13.0,Medium (13–26)
84,Made in Abyss,8.63,"TV (13 eps)         Jul 2017 - Sep 2017         1,485,140 members",TV,13.0,Medium (13–26)
85,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.63,"TV (12 eps)         Oct 2021 - Dec 2021         1,048,478 members",TV,12.0,Short (<=12)
86,Natsume Yuujinchou Shi,8.63,"TV (13 eps)         Jan 2012 - Mar 2012         259,839 members",TV,13.0,Medium (13–26)
87,Shingeki no Kyojin Season 3,8.63,"TV (12 eps)         Jul 2018 - Oct 2018         2,540,562 members",TV,12.0,Short (<=12)
88,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,"TV (12 eps)         Apr 2020 - Jun 2020         1,436,408 members",TV,12.0,Short (<=12)
89,Ping Pong the Animation,8.62,"TV (11 eps)         Apr 2014 - Jun 2014         421,637 members",TV,11.0,Short (<=12)
90,Bungou Stray Dogs 5th Season,8.62,"TV (11 eps)         Jul 2023 - Sep 2023         232,039 members",TV,11.0,Short (<=12)
91,Death Note,8.62,"TV (37 eps)         Oct 2006 - Jun 2007         4,126,527 members",TV,37.0,Long (>26)
92,Haikyuu!! Second Season,8.62,"TV (25 eps)         Oct 2015 - Mar 2016         1,513,926 members",TV,25.0,Medium (13–26)
93,Cyberpunk: Edgerunners,8.61,"ONA (10 eps)         Sep 2022 - Sep 2022         925,354 members",ONA,10.0,Short (<=12)
94,Haikyuu!! Movie: Gomisuteba no Kessen,8.61,"Movie (1 eps)         Feb 2024 - Feb 2024         191,322 members",Movie,1.0,Short (<=12)
95,Hajime no Ippo: Rising,8.61,"TV (25 eps)         Oct 2013 - Mar 2014         284,477 members",TV,25.0,Medium (13–26)
